,movieid,keywords
3412,10468,"alcoholism, urteil, car crash, wedding, withdrawal"
3413,1359,"based on novel, wall street, psychopath, white collar, harvard business school"
3414,4967,"love triangle, rabbi, priest, catholicism, null"
3415,31776,"null, null, null, null, null"
3416,10557,"islam, hippie, father son relationship, muslim, jealousy"
3417,27745,"biography, sex pistols, punk rock, rock music, retrospective"
3418,19214,"independent film, null, null, null, null"
3419,46686,"drug dealer, jamaica, null, null, null"
3420,71402,"null, null, null, null, null"
3421,13776,"diner, baltimore maryland, fake accident, gambling debt, twenty something"
3422,26291,"clown, liquor, birthday party, alcoholism, dark comedy"
3423,10784,"berlin, sex, entertainer, cabaret, gramophone"
3424,10242,"based on novel, sister sister relationship, aging, insanity, murder"
3425,27857,"gay, england, based on novel, null, null"
3426,16347,"based on novel, love, children, based on play or musical, eccentric"
3427,4825,"based on play or musical, singing, based on short story, craps, fake blindness"
3428,11654,"vampire, immortality, aging, female homosexuality, eternal youth"
3429,10518,"sex, based on novel, nudity, nazis, government"
3430,11977,"golf, underwear, sport, golf course, gopher"
3431,18041,"college, suspense, gossip, rumor, social experiment"
3432,14736,"lovers, affection, sport, basketball, high school sports"
3433,3536,"submarine, world war ii, north atlantic, mission, null"
3434,1443,"michigan, 1970s, youth, family, woman director"
3435,10424,"fight, blindness and impaired vision, victim, suspense, serial killer"
3436,80677,"extramarital affair, null, null, null, null"
3437,28971,"ballet dancer, null, null, null, null"
3438,49096,"sex, regret, love, revenge, unfaithfulness"
3439,310431,"null, null, null, null, null"
3440,40562,"texas, romance, independent film, groom, woman director"
3441,9456,"sister sister relationship, crow, independent film, electric chair, scar"
3442,889,"waitress, marriage proposal, flirt, stone age, best friend"
3443,10564,"california, baby, supermarket, oklahoma, pregnancy and birth"
3444,15723,"religion and supernatural, independent film, lubricant, salesman, null"
3445,19600,"null, null, null, null, null"
3446,125537,"null, null, null, null, null"
3447,452,"mentally disabled, social coercions, lifestyle, commune, test of courage"
3448,68170,"null, null, null, null, null"
3449,36234,"sexuality, jealousy, manipulation, independent film, experimental film"
3450,39283,"vegetarian, gore, dinosaur, credit rolling down, null"
3451,65460,"dinosaur, null, null, null, null"
3452,55667,"dinosaur, null, null, null, null"
3453,31978,"gay relationship, null, null, null, null"
3454,12476,"record store, robbery, fbi, human body, alien life-form"
3455,5241,"null, null, null, null, null"
3456,98,"rome, gladiator, arena, senate, roman empire"
3457,21311,"africa, null, null, null, null"
3458,47724,"upper class, refugee, infidelity, blackmail, seduction"
3459,11129,"sex, salesclerk, fast food restaurant, boredom, relationship problems"
3460,94214,"null, null, null, null, null"
3461,117781,"musical, null, null, null, null"
3462,1058,"mexico, eroticism, quickie, suspicion of murder, motel"
3463,37112,"civil war, spy, hijacking of train, train ride, espionage"
3464,42159,"musical, rock music, null, null, null"
3465,16395,"witch, video nasty, null, null, null"
3466,50627,"brother brother relationship, monopoly, boardwalk, jail, mobster"
3467,5608,"treasure, sword, mythology, folk hero, iceland"
3468,38925,"null, null, null, null, null"
3469,13105,"housewife, job, null, null, null"
3470,22501,"null, null, null, null, null"
3471,5491,"based on novel, post-apocalyptic, dystopia, mining, fighter jet"
3472,10560,"new york, competition, dancer, dance, ball"
3473,19489,"null, null, null, null, null"
3474,19419,"null, null, null, null, null"
3475,23531,"independent film, diner, dating, masturbation, null"
3476,10688,"shakespeare, loss of lover, loss of father, father murder, father"
3477,17889,"musical, new york city, cartoon mouse, live action and animation, null"
3478,18228,"hawaii, musical, romantic comedy, tiki culture, null"
3479,80351,"children, classic, null, null, null"
3480,18642,"null, null, null, null, null"
3481,205054,"gay, null, null, null, null"
3482,39391,"burlesque, null, null, null, null"
3483,18644,"nightclub, musical, crime boss, singer, null"
3484,31516,"musical, u.s. navy, turnstile, null, null"
3485,45827,"native american, modern western, null, null, null"
3486,5683,"prenzlauer berg, dark comedy, dark humor, heroes journey, pee wee herman"
3487,113279,"null, null, null, null, null"
3488,2094,"rock and roll, fair, lovers, elvis, null"
3489,14906,"brazil, culture, null, null, null"
3490,16176,"cinderella, musical, null, null, null"
3491,52770,"hotel, null, null, null, null"
3492,12518,"hawaii, gambling debts, woman between two men, wedding, null"
3493,10567,"cataclysm, asteroid, leader, comet, animation"
3494,10642,"college, lost and found, older brother younger sister, woman director, young adult"
3495,9285,"female nudity, sex, sexism, sperm bank, erection"
3496,10569,"bank, restaurant, role of women, bank robber, wife"
3497,21879,"teen movie, null, null, null, null"
3498,98502,"null, null, null, null, null"
3499,21484,"germany, adultery, monster, hysteria, investigation"
3500,24918,"russia, hidden fortune, null, null, null"
3501,955,"terror, spain, cia, helicopter, secret identity"
3502,8584,"princess, sioux, travel, rescue, native american"
3503,47295,"null, null, null, null, null"
3504,11332,"father son relationship, loss of mother, harem, illegal prostitution, null"
3505,16093,"organ, car crash, b movie, female protagonist, cult film"
3506,29372,"world war ii, null, null, null, null"
3507,962,"river, gold, dance, worker, cabin"
3508,5483,"holiday, tourist, vacation, null, null"
3509,21060,"gay, aids, homophobia, coming out, lesbian relationship"
3510,30588,"villain, great depression, marriage, noir, stock market crash"
3511,668,"london england, suicide, england, switzerland, secret identity"
3512,23518,"based on novel, white house, general, kidnapping, cold war"
3513,691,"london england, submarine, england, assassination, spy"
3514,31353,"null, null, null, null, null"
3515,44018,"homeless person, french, woman director, null, null"
3516,698,"venice, mass murder, space marine, space suit, marcus square"
3517,682,"london england, england, martial arts, assassin, exotic island"
3518,28973,"revolution, communist, salesman, king, tv"
3519,28974,"pearl necklace, high society, railroad station, null, null"
3520,40685,"gold rush, sacramento, null, null, null"
3521,22994,"japanese, world war ii, u.s. navy, pacific island, null"
3522,40639,"civil war, marshal, kansas, null, null"
3523,499,"individual, paris, algerienkrieg, cancer, singer"
3524,9600,"绝地奶霸, 卧底肥妈, big爆任务, 超级妈妈, null"
3525,120077,"null, null, null, null, null"
3526,38006,"himalaya, expedition, yeti, cryptozoology, monastery"
3527,2768,"suspicion of murder, gigolo, callboy, null, null"
3528,42002,"null, null, null, null, null"
3529,40365,"bride, mutilation, null, null, null"
3530,24920,"suicide, psychic power, priest, gore, tod"
3531,21,"surfer, surfboard, surfing, null, null"
3532,10911,"based on novel, world war ii, fort, allied, army"
3533,10102,"suicide, callgirl, sex, eating and drinking, childhood friends"
3534,30308,"london england, undercover, fashion designer, serial killer, taxi dancer"
3535,38688,"legend, singer, bullfighter, flying dutchman, ship captain"
3536,26912,"paleontology, riot, spaceship, martian, hammer horror"
3537,26278,"monster, factory, alien life-form, meteor, rocket"
3538,26953,"puppet, murder, null, null, null"
3539,26954,"female nudity, hotel, brain, puppet, sequel"
3540,26956,"null, null, null, null, null"
3541,26957,"puppet, sequel, null, null, null"
3542,26958,"puppet, sequel, demon, null, null"
3543,26959,"puppet, puppet master, null, null, null"
3544,26960,"paris, puppet, null, null, null"
3545,80287,"prostitute, independent film, street shootout, null, null"
3546,6003,"male nudity, new love, lover (female), love of one's life, forbidden love"
3547,23939,"televison, null, null, null, null"
3548,46614,"journalist, italian, world war ii, german, northern africa"
3549,11072,"gun, saloon, governor, marching band, comedy"
3550,23069,"hostage, affection, rescue, dog, animal actor"
3551,21299,"hunter, wilderness, cougar, lost at sea, benji"
3552,38802,"null, null, null, null, null"
3553,13368,"show business, sister sister relationship, stage show, song and dance, christmas"
3554,985,"baby, mutant, claustrophobia, nightmare, parents-in-law"
3555,14002,"indigenous, time, community, prayer, spirituality"
3556,541,"prison, poker, gambling, underground world, sense of guilt"
3557,21137,"punk, midnight movie, subculture, punk band, woman director"
3558,36724,"heavy metal, anarchist, anti social, thrash metal, metal"
3559,938,"bounty hunter, rural setting, pot smoking, beard, death"
3560,10648,"arbitrary law, covered investigation, uniform, investigation, inspector"
3561,11368,"assassin, wife husband relationship, planned murder, lover, boss"
3562,10875,"jazz, liquor, success, null, null"
3563,2075,"hitman, lovers, gangster, killer, null"
3564,1551,"life and death, afterlife, swing, memory, medical student"
3565,22500,"nudity, utopia, invasion, surrealism, robot"
3566,10246,"male nudity, female nudity, sex, florida, virgin"
3567,19698,"ku klux klan, teenager, lust, mischief, religious fanatic"
3568,23919,"student, teenager, mischief, misadventure, null"
3569,18835,"sex, nudity, underwear, cult, bikini"
3570,26554,"null, null, null, null, null"
3571,15239,"corruption, mayor, anti hero, sadism, toxic"
3572,28165,"japan, new jersey, sequel, superhero, gore"
3573,28169,"nudity, satire, sequel, superhero, gore"
3574,15762,"female nudity, monster, spacecraft, experiment, nudity"
3575,169,"predator, war on drugs, extraterrestrial technology, los angeles, invisible"
3576,865,"prison, chase, hunting human beings, game show, dystopia"
3577,9663,"places and planets, widow, lovers, alien, police car"
3578,26889,"black people, allegory, hispanoamerican, alien, independent film"
3579,10128,"living together, delinquency, cop, alien invasion, null"
3580,9659,"chain, baby, bridge, post-apocalyptic, dystopia"
3581,8810,"explosive, boomerang, pilot, chase, post-apocalyptic"
3582,9355,"arena, sandstorm, dystopia, oasis, sequel"
3583,1727,"poison, fbi, zoo, chase, sexual attraction"
3584,635,"southern usa, amnesia, drug addiction, new orleans, neurosis"
3585,10068,"sexual obsession, prostitute, women's sexual identity, broker, gallery owner"
3586,11495,"fire, telepathy, intelligence, college, null"
3587,11428,"killing, based on novel, black humor, incest, morphing"
3588,10117,"showdown, suspicion of murder, boxer, suspension, organized crime"
3589,35936,"null, null, null, null, null"
3590,25562,"tv show, soap opera, television broadcast, null, null"
3591,51763,"independent film, null, null, null, null"
3592,73079,"melodrama, racism, null, null, null"
3593,38921,"bookshop, burglar, suspicion of murder, thief, null"
3594,35463,"police, drug, null, null, null"
3595,9679,"brother brother relationship, detective, car race, car thief, blackmail"
3596,24587,"pimp, crime, null, null, null"
3597,51333,"null, null, null, null, null"
3598,17771,"holocaust, jewish life, russian front, austria-hungary, null"
3599,31610,"null, null, null, null, null"
3600,60005,"null, null, null, null, null"
3601,10264,"loss of father, prince, uncle, revenge, murder"
3602,31657,"wheelchair, vietnam, war, volunteer, love"
3603,29204,"pop, jazz, tzar, music, mafia boss"
3604,17814,"ambush, street gang, blackout, siege, police"
3605,11879,"small town, motel, sunlight, vampire, victim"
3606,21128,"arkansas, suspense, independent film, los angeles, criminal"
3607,482,"new york, black people, ghetto, daughter, police"
3608,592,"san francisco, paranoia, audio tape, wiretap, shadowing"
3609,31593,"california, prostitute, alcohol, vietnam, witness"
3610,12611,"father son relationship, middle east, hotel, based on novel, beach"
3611,14328,"based on novel, harvard university, college, law student, study group"
3612,32047,"new york, corruption, 1970s, police, null"
3613,9040,"corruption, hippie, money, null, null"
3614,25364,"sheriff, journalism, new mexico, satire, rescue"
3615,43002,"loyalty, modern society, male friendship, independence, jail"
3616,5121,"prison, stadium, texas, hostage, kidnapping"
3617,195,"venice, robbery, jealousy, widow, approach"
3618,6978,"kung fu, chinatown, magic, mystery, null"
3619,3133,"mass murder, on the run, fugitive, killing spree, gritty"
3620,643,"staircase, russian revolution 1905, odessa, baby carriage, panic"
3621,10571,"soulmates, new love, platonic love, lovers, girlfriend"
3622,479,"corruption, black people, italo-american, brother sister relationship, drug dealer"
3623,7450,"monster, galaxy, dystopia, space, alien"
3624,31023,"fascism, communist, latin, spanish civil war, friendship"
3625,25636,"drug abuse, magic mushroom, dark comedy, independent film, drug"
3626,41160,"sport, null, null, null, null"
3627,47439,"baron, childhood, null, null, null"
3628,207731,"null, null, null, null, null"
3629,7443,"chicken, freedom, escape, chicken farm, pie machine"
3630,2123,"schizophrenia, ex-cop, aftercreditsstinger, duringcreditsstinger, null"
3631,2024,"rebel, southern usa, loss of son, martial arts, general"
3632,17711,"adventure, cartoon, comedy, breaking the fourth wall, talking to the camera"
3633,2133,"u.s. air force, grocery, jamaican, meteorologist, rescue boat"
3634,29946,"null, null, null, null, null"
3635,25993,"asylum, insane asylum, anthology, psychiatrist, mental asylum"
3636,28774,"male nudity, based on novel, paranoia, nudity, halloween"
3637,46929,"null, null, null, null, null"
3638,11598,"journalism, commercial, television, tv show, manipulation of the media"
3639,9702,"juvenile prison, artist, jail, east los angeles, hood"
3640,117026,"jekyll and hyde, null, null, null, null"
3641,9873,"corruption, detective, assassin, showdown, fbi"
3642,16820,"technology, null, null, null, null"
3643,14864,"smoking, bank robber, arson, null, null"
3644,15379,"prisoners of war, vietnam war, jungle, null, null"
3645,12764,"prisoners of war, liberation, vietnam war, vietcong, death of a friend"
3646,27352,"vietnam veteran, orphanage, rescue mission, long abandoned, null"
3647,8348,"friendship, police, outlaw, road movie, null"
3648,24099,"usa president, monster, dream, heart, telekinesis"
3649,17897,"tattoo, sinbad, null, null, null"
3650,28050,"giallo, slasher, wedding dress, null, null"
3651,16094,"high school, party, house party, null, null"
3652,16096,"null, null, null, null, null"
3653,20343,"musical, null, null, null, null"
3654,13757,"null, null, null, null, null"
3655,11822,"sex, menage a trois, necrophilia, relationship, null"
3656,90980,"newspaper man, null, null, null, null"
3657,26270,"space travel, null, null, null, null"
3658,37744,"space travel, null, null, null, null"
3659,494,"paris, africa, illegal immigration, ethiopia, human trafficking"
3660,493,"bomb, gambling, helicopter, cemetery, coffin"
3661,12706,"gambling, casino, writer's block, independent film, crime"
3662,4244,"age difference, midlife crisis, suppressed past, self-awareness, childhood memory"
3663,4247,"sex, garage, psychopath, crude humor, drug"
3664,20770,"coming out, cheerleader, homosexuality, independent film, lesbian"
3665,1050,"mentally disabled, tradition, wife husband relationship, shower, modernity"
3666,1052,"london england, photographer, burglar, tennis, loss of sense of reality"
3667,20540,"holocaust, jew persecution, pawnbroker, null, null"
3668,23655,"independent film, null, null, null, null"
3669,1788,"dancing, dancer, dance, music, dance teacher"
3670,32275,"half breed, null, null, null, null"
3671,36657,"mutant, marvel comic, superhero, based on comic, superhuman"
3672,44490,"gay, independent film, mentally handicapped man, null, null"
3673,47585,"independent film, null, null, null, null"
3674,1448,"sacrifice, vampire, crocodile, inspector, civil engineer"
3675,36047,"woman director, null, null, null, null"
3676,2655,"secret, haunted house, ouija board, haunting, missing girl"
3677,12599,"bird, collector, fighter, duel, nature"
3678,33828,"null, null, null, null, null"
3679,93,"rape, adultery, jealousy, michigan, judge"
3680,9278,"future, chase, time travel, dystopia, immortality"
3681,90715,"surrealism, wild west, christ allegory, null, null"
3682,59181,"female nudity, nudity, college, sorority, teen movie"
3683,22167,"renaissance troup, null, null, null, null"
3684,18118,"gold, marshal, null, null, null"
3685,11940,"monster, step mother, null, null, null"
3686,24167,"rome, world war ii, null, null, null"
3687,10276,"desperation, idiot, neurosis, psychiatrist, family holiday"
3688,19380,"suspense, null, null, null, null"
3689,13783,"war crimes, writing, mythology, australian, south africa"
3690,11624,"transsexuality, perversity, sperm, orgasm, sodomy"
3691,15867,"independent film, null, null, null, null"
3692,11686,"napoleon, execution, anarchic comedy, null, null"
3693,29263,"professor, book, argentina, school, lawyer"
3694,46754,"woman director, null, null, null, null"
3695,18702,"harmonica, music store, big band, null, null"
3696,11830,"widow, food, truck driver, hoodlum, noodle"
3697,16110,"null, null, null, null, null"
3698,12107,"alter ego, mad scientist, family, dean, duringcreditsstinger"
3699,10401,"paris, suicide, france, gambling, bridge"
3700,32640,"null, null, null, null, null"
3701,10641,"new love, love of one's life, unexpected happiness, dying and death, success"
3702,6282,"bar, musical, beautiful woman, null, null"
3703,9383,"killing, human experimentation, scientist, invisible man, science experiment"
3704,5551,"nasa, space travel, astronaut, elderly, null"
3705,277726,"null, null, null, null, null"
3706,43079,"dancer, amateur soccer, null, null, null"
3707,27723,"gay, dancing, detective, confession, beach"
3708,2360,"drug dealer, greenhouse, police, drug, hoodlum"
3709,28043,"anthology, null, null, null, null"
3710,33468,"transplantation, experiment, mutant, brain, fiancé"
3711,21866,"love, cowboy, wild west show, null, null"
3712,33408,"journalist, obsession, revenge, suspense, erotic thriller"
3713,11589,"gold, world war ii, armor, campaign, u.s. army"
3714,15158,"portal, undertaker, evil, tall man, sentinals"
3715,16139,"female nudity, nudity, zombie, mausoleum, tall man"
3716,16146,"cemetery, mausoleum, tall man, sentinals, null"
3717,26515,"witch, cabin, death of a child, murder, pumpkin"
3718,11856,"cia, refugee camp, pilot, drug smuggle, airplane"
3719,13567,"shyness, summer camp, murder, gore, serial killer"
3720,10860,"southern usa, strong woman, beauty, female friendship, based on play or musical"
3721,8420,"lolita, adoption, saint tropez, null, null"
3722,18391,"null, null, null, null, null"
3723,20850,"prisoners of war, sadism, necrophilia, medical experiment, scientific experiment"
3724,39473,"autism, double murder, null, null, null"
3725,27452,"staircase, fall from staircase, gothic, spiral staircase, proto-slasher"
3726,77571,"wheelchair, liquor, null, null, null"
3727,38548,"null, null, null, null, null"
3728,20438,"independent film, null, null, null, null"
3729,274868,"null, null, null, null, null"
3730,2211,"berlin, jew, forbidden love, lesbian relationship, homosexuality"
3731,46991,"null, null, null, null, null"
3732,201581,"boston, independent film, family relationships, mother daughter relationship, null"
3733,10391,"sister sister relationship, autism, satanism, ersatz, demon"
3734,14195,"heroin, blindfold, bong, perversion, burned alive"
3735,15665,"null, null, null, null, null"
3736,45905,"null, null, null, null, null"
3737,10393,"american football, strike, sport, coach, misfit"
3738,18168,"sex, waitress, sister sister relationship, infidelity, virgin"
3739,8843,"drowning, therapist, virtual reality, serial killer, psychopathy"
3740,10643,"japan, monster, flying saucer, godzilla, city"
3741,23618,"null, null, null, null, null"
3742,117262,"null, null, null, null, null"
3743,30946,"null, null, null, null, null"
3744,37136,"baseball, aquarium, queen elisabeth ii, terrorism, illegal drugs"
3745,37137,"washington d.c., usa president, spoof, the white house, null"
3746,23283,"teenage girl, dream like experience, null, null, null"
3747,3110,"based on novel, gun, settler, gunfight, homestead"
3748,14698,"spain, operation, hunger, lie, post"
3749,11694,"gunslinger, ranch, daughter, null, null"
3750,47434,"new york, france, dog, woman director, psychoanalyst"
3751,39891,"black magic, satanist, supernatural, hammer horror, occult"
3752,76891,"null, null, null, null, null"
3753,9651,"dc comics, magic, laser, love, superhero"
3754,26865,"radiation, minister, black and white, null, null"
3755,11398,"china, chinese woman, secret agent, conspiracy of murder, united nations"
3756,161687,"null, null, null, null, null"
3757,26244,"null, null, null, null, null"
3758,1588,"cheerleader, sport, high school, teenage girl, cheerleading"
3759,287821,"null, null, null, null, null"
3760,19150,"null, null, null, null, null"
3761,25128,"independent film, woman director, null, null, null"
3762,18153,"null, null, null, null, null"
3763,30910,"independent film, null, null, null, null"
3764,41282,"sex, fantasy, governor, high school, party"
3765,12211,"loss of lover, antiquary, loss of powers, death of a friend, immortality"
3766,137236,"null, null, null, null, null"
3767,9995,"single parent, rap music, loss of mother, socially deprived family, musical"
3768,1698,"butterfly, dissection, scalpel, medical school, null"
3769,10480,"independent film, native american, violence, soap opera, used car dealer"
3770,80713,"friends, neighbor, hospital, dog, womanhood"
3771,10685,"chicago, fbi, menace, covered investigation, state of emergency"
3772,1619,"gunslinger, mexico, hotel, ransom, mexican standoff"
3773,786,"hotel room, san diego, drug addiction, stewardess, overdose"
3774,14805,"ex-con, null, null, null, null"
3775,51179,"london england, phone booth, rope, swimming pool, dark comedy"
3776,46119,"rape, falsely accused, obsession, murder, independent film"
3777,18074,"musical, null, null, null, null"
3778,170767,"spain, sex, nudity, miracle, artist"
3779,77332,"null, null, null, null, null"
3780,27665,"suspense, null, null, null, null"
3781,29015,"superhero, null, null, null, null"
3782,10562,"rape, suspicion of murder, jogging, sexual murder, suspense"
3783,201724,"null, null, null, null, null"
3784,12212,"film making, high school, sequel, serial killer, slasher"
3785,14629,"woman director, null, null, null, null"
3786,16,"individual, dancing, usa, robbery, factory worker"
3787,13785,"illinois, pet shop, poodle, independent film, mockumentary"
3788,34299,"independent film, woman director, null, null, null"
3789,15752,"null, null, null, null, null"
3790,22597,"gay, roommate, male friendship, in vitro fertilisation, romantic comedy"
3791,19348,"sport, woman director, null, null, null"
3792,10637,"ku klux klan, american football, trainer, sports team, race politics"
3793,9003,"underworld, seduction, supernatural, pinhead, revenge"
3794,9064,"seduction, pain, hell, pinhead, sequel"
3795,11569,"nightclub, game of dice, scuplture, pinhead, cenobyten"
3796,10434,"berlin, angel, urban life, friends, rescue"
3797,26484,"beach, surfer, madcap comedy, anthropologist, beach movie"
3798,39113,"holiday, pop star, party, surf, b movie"
3799,38126,"experiment, fly the insect, null, null, null"
3800,53617,"musical, null, null, null, null"
3801,469,"new york, bet, horse race, florida, hungary"
3802,2160,"mutiny, climate change, iceberg, nuclear missile, heat"
3803,2161,"submarine, coma, claustrophobia, wound, laser"
3804,3073,"dracula, frankenstein, horror spoof, null, null"
3805,911,"usa, california, daughter, bank robbery, car chase"
3806,10973,"monster, boat, paleontology, expedition, chase"
3807,34077,"null, null, null, null, null"
3808,10787,"chemical, chemist, scientist, invisible man, invisibility"
3809,43109,"shrew, flesh eating, poverty row film, null, null"
3810,43230,"atomic bomb, flying saucer, mind control, giant robot, alien invasion"
3811,15855,"opera, remake, gothic horror, ghost, null"
3812,9507,"technology, future, chase, revenge, murder"
3813,27475,"female nudity, sleepover, cannabis, neighbor, serial killer"
3814,27764,"woman director, null, null, null, null"
3815,27767,"slasher, woman director, null, null, null"
3816,40760,"college, psychic power, sorority, slasher, hiding"
3817,40446,"female nudity, haunted house, sorority, ouija, ouija board"
3818,24664,"null, null, null, null, null"
3819,21370,"tap dancing, null, null, null, null"
3820,20455,"video game, monster, loss of energy, egg, computer"
3821,10461,"ritual, pornographic video, car crash, dvd, null"
3822,1485,"hitman, british, gritty, null, null"
3823,1597,"cia, airport, cat, jew, orderly"
3824,641,"drug addiction, junkie, heroin, speed, diet"
3825,10687,"independent film, awol, fort polk louisiana, target practice, guitar player"
3826,63956,"null, null, null, null, null"
3827,6521,"politics, suspense, null, null, null"
3828,10763,"private life, ladies' man, doctor, gynecologist, charm"
3829,100975,"new york, nurse, sex, infidelity, nudity"
3830,16888,"female nudity, tattoo, radio, cheat on husband, eating contest"
3831,10383,"pedophilia, daughter, anti-christ, incest, null"
3832,21142,"rape, school, violence, null, null"
3833,78140,"senator, politics, null, null, null"
3834,2134,"london england, inventor, future, time travel, dystopia"
3835,18801,"based on novel, secret, professor, nudity, supernatural"
3836,18498,"witch, demon, warlock, null, null"
3837,28605,"null, null, null, null, null"
3838,42797,"musical, titanic, based on play or musical, wealth, inscribed ring"
3839,13465,"mystery, null, null, null, null"
3840,27033,"alcoholic, district attorney, film noir, null, null"
3841,20367,"travel, b movie, hitchhiker, classic noir, film noir"
3842,71,"workers' quarter, dancing class, strike, northern england, scholarship"
3843,1636,"love of one's life, wish, sale of soul, pact with the devil, demon"
3844,10647,"child's point of view, candlelight vigil, good deed, exotic dancer, schoolteacher"
3845,19204,"hotel, experiment, hell, gore, morgue"
3846,13762,"spoof, heiress, null, null, null"
3847,12207,"father son relationship, martial arts, showdown, fistfight, friendship"
3848,11531,"witch, video, forest, horror, vision"
3849,24100,"based on novel, vampire, bite, independent film, fang vamp"
3850,10783,"weather forecast, tv station, weather, lottery, wettermann"
3851,47302,"null, null, null, null, null"
3852,4327,"martial arts, female friendship, millionaire, agent, null"
3853,4958,"competition, world war i, great depression, caddy, savannah"
3854,9678,"father son relationship, brother sister relationship, demon, bulldogg, null"
3855,11978,"diving, u.s. navy, null, null, null"
3856,8870,"mars, future, astronaut, science, catastrophe"
3857,77434,"woman director, null, null, null, null"
3858,14295,"independent film, null, null, null, null"
3859,681,"spy, fight, secret organization, satellite, secret agent"
3860,11372,"england, world war ii, nazis, adolf hitler, winston churchill"
3861,8452,"clone, future, murder, cloning, laser gun"
3862,10862,"chance, widow, stroke of fate, encounter, destiny"
3863,8871,"holiday, christmas party, new love, santa claus, village"
3864,34045,"1970s, olympic games, hostage situation, null, null"
3865,16340,"paris, invention, null, null, null"
3866,10481,"london england, prison, release from prison, women's prison, society for the prevention of cruelty to animals"
3867,10867,"female nudity, sicily, jealousy, world war ii, longing"
3868,10876,"asylum, french revolution, french, smuggling, maid"
3869,9741,"father son relationship, train accident, comic book, marriage crisis, invulnerability"
3870,79920,"null, null, null, null, null"
3871,146,"flying, martial arts, taskmaster, comb, tiger"
3872,11849,"opression, emperor, magic, verlies, governance"
3873,11983,"hostage, new love, suspense, agent, null"
3874,11678,"himalaya, pakistan, climbing, k2, mountaineering"
3875,2669,"female nudity, exotic island, mutiny, lake, nudity"
3876,20721,"null, null, null, null, null"
3877,2609,"thanksgiving, receptionist, slob, st. louis missouri, double take"
3878,12714,"parenthood, newlywed, null, null, null"
3879,92603,"null, null, null, null, null"
3880,708,"london england, smuggling of arms, prison, england, assassination"
3881,1857,"toy, transformation, based on toy, transformers, robots"
3882,10673,"power, fraud, broker, wall street, finances"
3883,2604,"vietnam veteran, post traumatic stress  disorder, bar, 1970s, wheelchair"
3884,10132,"anonymity, radio presenter, success, dangerous, radio transmission"
3885,11064,"based on novel, photographer, baseball, dollar, remake"
3886,107,"gypsy, bare knuckle boxing, slang, trailer park, pig"
3887,40820,"stand-up comedy, null, null, null, null"
3888,37716,"independent film, null, null, null, null"
3889,392,"chocolate, mayor, praline, single, mother daughter relationship"
3890,8859,"dude, amnesia, idiot, auto, friendship"
3891,11688,"central and south america, birthday, emperor, palace, kingdom"
3892,12509,"artist, success, relationship problems, alcoholism, independent film"
3893,3981,"women, telepathy, supernatural powers, advertising executive, woman director"
3894,711,"upper class, brother brother relationship, scotland, poetry, based on novel"
3895,2046,"fortune teller, dream, pond, extrasensory perception, null"
3896,5001,"suicide, gay, new york, cuba, aids"
3897,8358,"exotic island, suicide attempt, volleyball, loneliness, airplane crash"
3898,5994,"workaholic, second chance, guardian angel, christmas, career vs family"
3899,25520,"null, null, null, null, null"
3900,1493,"undercover agent, beauty contest, terrorism, null, null"
3901,25660,"null, null, null, null, null"
3902,134,"prophecy, southern usa, music record, country music, mississippi"
3903,62677,"musical, independent film, woman director, null, null"
3904,21991,"film making, small town, movie in movie, statutory rape, new england"
3905,10577,"vampire, dracula, bite, blood, vlad"
3906,21355,"dancing, chess, prisoner, coffin, wrong accusal"
3907,29122,"toupee, scalper, null, null, null"
3908,11973,"usa president, atomic bomb, john f. kennedy, kubakrise, threat"
3909,1900,"usa, war on drugs, drug traffic, drug dealer, drug smuggle"
3910,44853,"null, null, null, null, null"
3911,10873,"film director, dracula,  nosferatu, null, null"
3912,26719,"con man, fraud, gambling debts, noir, null"
3913,31583,"psychopath, femme fatale, bag of money, neo-noir, null"
3914,15739,"santa claus, musical, based on comic, based on play or musical, microphone"
3915,15413,"babysitter, mom on holiday, children home alone, null, null"
3916,2623,"love of one's life, navy, officer, null, null"
3917,11209,"texas, assault, alamo, mexican, mexican army"
3918,13715,"rape, 1970s, gun, sociopath, drug"
3919,19108,"corruption, judge, truck driver, null, null"
3920,8043,"prisoner, train ride, governor, army, u.s. marshal"
3921,43258,"indiana, slavery, faith, religion, quaker"
3922,10655,"civil war, independence, troops, army, battle"
3923,75490,"indiana, hustler, father, coming of age, null"
3924,42261,"null, null, null, null, null"
3925,34794,"upper class, exorcism, plantation, suspense, social satire"
3926,9989,"technology, garage, hacker, male friendship, microchip"
3927,18828,"mexico, cia, fbi, train, null"
3928,9816,"ballet dancer, musical, ballet, null, null"
3929,20637,"dark comedy, independent film, criminal, null, null"
3930,5955,"promise, murder, drawing, porcupine, pledge"
3931,125498,"null, null, null, null, null"
3932,77825,"null, null, null, null, null"
3933,220976,"null, null, null, null, null"
3934,66599,"null, null, null, null, null"
3935,17474,"null, null, null, null, null"
3936,11191,"independent film, commitment, lobster, portuguese american, null"
3937,2613,"love at first sight, body exchange, null, null, null"
3938,22021,"orderly, right and justice, vigilante, blaxploitation, afro"
3939,22048,"blaxploitation, drug use, prostitution, afro, null"
3940,17006,"pimp, hero, ghetto, clowning, black humor"
3941,26333,"love, tragedy, orphan, baboon, null"
3942,16723,"rebel, american football, robbery, bank, mask"
